metric,geography,as_of_date,value,unit,source_url
Total policies in force (all lines),"Miami-Dade County, FL",2022-12-31,218947,policies,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Total premium (all lines),"Miami-Dade County, FL",2022-12-31,835641536,USD,https://www.citizensfla.com/documents/20702/20355921/20221231+Detail+by+County.pdf/b20ff4aa-34d0-5e83-c79b-11ac1787c090
Commercial Non-Residential Multiperil building count,"Miami-Dade County, FL",2023-12-31,531,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Multiperil policies in force,"Miami-Dade County, FL",2023-12-31,446,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Multiperil total exposure,"Miami-Dade County, FL",2023-12-31,466053474,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Multiperil total premium,"Miami-Dade County, FL",2023-12-31,5518383,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Wind-Only building count,"Miami-Dade County, FL",2023-12-31,1060,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Wind-Only policies in force,"Miami-Dade County, FL",2023-12-31,819,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Wind-Only total exposure,"Miami-Dade County, FL",2023-12-31,574076358,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Non-Residential Wind-Only total premium,"Miami-Dade County, FL",2023-12-31,11020309,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Multiperil building count,"Miami-Dade County, FL",2023-12-31,3271,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Multiperil policies in force,"Miami-Dade County, FL",2023-12-31,896,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Multiperil total exposure,"Miami-Dade County, FL",2023-12-31,8293151947,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Multiperil total premium,"Miami-Dade County, FL",2023-12-31,57622302,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Wind-Only building count,"Miami-Dade County, FL",2023-12-31,2671,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Wind-Only policies in force,"Miami-Dade County, FL",2023-12-31,1327,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Wind-Only total exposure,"Miami-Dade County, FL",2023-12-31,19402256008,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial Residential Wind-Only total premium,"Miami-Dade County, FL",2023-12-31,191127708,USD,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Commercial total policies in force (CR-M+CR-W+CNR-M+CNR-W),"Miami-Dade County, FL",2023-12-31,3488,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Multiperil building count,"Miami-Dade County, FL",2023-12-31,185214,buildings,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
Personal Residential Multiperil policies in force,"Miami-Dade County, FL",2023-12-31,185214,policies,https://www.citizensfla.com/documents/20702/29445098/20231231+Detail+By+County.pdf/0736109d-5343-ae7e-322a-59ad72f083cb
