scenario,projection_year,rsl_ft,ci_low_ft,ci_high_ft,source
Intermediate-Low,2100,2.1,1.8,2.46,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate-Low,2110,2.36,2.0,2.76,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate-Low,2120,2.59,2.23,3.08,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate-Low,2130,2.89,2.43,3.41,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate-Low,2140,3.15,2.62,3.77,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Intermediate-Low,2150,3.41,2.82,4.17,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2005,0.0,0.0,0.0,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2020,0.26,0.16,0.33,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2030,0.43,0.33,0.56,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2040,0.59,0.46,0.75,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2050,0.79,0.62,0.95,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2060,0.92,0.72,1.18,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2070,1.05,0.85,1.31,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2080,1.18,0.98,1.44,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2090,1.31,1.05,1.61,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2100,1.44,1.18,1.8,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2110,1.61,1.28,2.0,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2120,1.74,1.38,2.17,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2130,1.84,1.44,2.33,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2140,1.97,1.54,2.53,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
Low,2150,2.07,1.61,2.69,"NOAA 2022 Sea Level Rise Technical Report, station 8723214"
