site_no,station_name,lat,lon,land_surface_alt_ft,land_surface_alt_datum,well_depth_ft,hole_depth_ft,aquifer_code,aquifer,national_aquifer_code,aquifer_type_code,datum,construction_date,huc,distance_from_AOI_center_km,inside_AOI,n_level_obs,period_of_record
252719080253601,G  -3966D,25.4553611,-80.42665,6.74,NGVD29,107,111,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20140422,03090202,43.528,N,0,
252719080253602,G  -3966S,25.4553611,-80.42665,6.74,NGVD29,97,111,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20140422,03090202,43.528,N,0,
253530080343201,G  -3124,25.5920516,-80.5753367,5,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,43.954,N,0,
252650080252401,G  -3856,25.4473583,-80.4234944,6,NGVD29,85,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,44.113,N,0,
252710080260001,G  -3994 / TPGW-20,25.4528056,-80.4334583,8.42,NGVD29,108.0,120.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20170816,03090202,44.137,N,0,
252714080260901,G  -3976,25.4540083,-80.4358694,8.93,NGVD29,107.2,115,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,44.159,N,0,
252650080252701,G  -3855,25.4472889,-80.4243972,6.21,NGVD29,87,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,44.167,N,0,
252512080221801,G  -3992 / TPGW-18,25.420125,-80.3716222,1.7,NGVD29,99.5,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,44.37,N,0,
253813080361601,G  -3125,25.6373277,-80.6042263,4,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,44.397,N,0,
252910080292002,G  -1650,25.4864996,-80.4886682,8,NAVD88,25.1,,,,,,NAD83,19720101,03090202,44.533,N,0,
252349080181501,G  -3942 / TPGW-11,25.3970556,-80.3041667,-5.2,NGVD29,135.0,149.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201005,03090202,44.567,N,0,
253400080340401,G  -3437,25.567,-80.5670833,6.82,NGVD29,12.5,12.5,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19851210,03090202,44.685,N,0,
252742080273101,252742080273101,25.4620558,-80.4583899,6.00,NGVD29,25,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,19790101,03090202,44.723,N,0,
252718080264901,G  -3900,25.4541917,-80.4468694,5.3,NGVD29,22,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,44.761,N,0,
252829080285101,F  - 358,25.4751944,-80.4811667,8.73,NGVD29,54.0,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,19400101,03090202,44.992,N,0,
252720080272501,252720080272501,25.4559449,-80.4567232,6.00,NGVD29,25,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,19790101,03090202,45.173,N,0,
252902080294501,G  -3366    SITE 9,25.4842775,-80.4956128,8,NAVD88,9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19850201,03090202,45.183,N,0,
252626080261001,G  -3998,25.4404528,-80.4361444,4.05,NGVD29,110.3,121,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,45.438,N,0,
252524080241301,G  -3936 / TPGW-5,25.4233056,-80.4036944,0.97,NGVD29,91.2,116.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201004,03090202,45.454,N,0,
252532080244301,G  -1264,25.4264167,-80.4119167,4.41,NGVD29,59.4,69,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,45.54,N,0,
252603080254101,G  -3938 / TPGW-7,25.4340278,-80.4279722,3.05,NGVD29,114.0,120.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201004,03090202,45.613,N,0,
252339080210701,G  -3944 / TPGW-13,25.3941667,-80.3519722,3.94,NGVD29,110.4,130.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201004,03090202,46.308,N,0,
252502080253901,G  -3356,25.4189722,-80.4277222,3.0,NGVD29,13,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,47.041,N,0,
252520080261001,G  -3995 / TPGW-21,25.4222528,-80.4360472,3.87,NGVD29,93.0,120.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,47.153,N,0,
252502080254301,G  -3348,25.4176129,-80.4283894,2.63,NGVD29,90,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,47.206,N,0,
252238080195401,G  -3975 / TPGW-16,25.3772028,-80.3316,5.13,NGVD29,134.75,141.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,47.443,N,0,
253237080350100,MRSHOPB1,25.5436944,-80.5836111,6.3,NGVD29,20.5,20.5,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20040317,03090202,47.503,N,0,
252506080261001,G  -3999,25.4183,-80.4360889,4.03,NGVD29,106,110,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20180215,03090202,47.532,N,0,
252507080262401,"G  -5013 Miami-Dade County, FL",25.418611,-80.440083,4.0,NGVD29,82.0,82.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,,47.709,N,0,
253110080340101,G  -3118,25.519832,-80.5667256,6,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,47.712,N,0,
252254080221101,G  -3933 / TPGW-2,25.3817222,-80.3698333,3.23,NGVD29,103.7,123.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201002,03090202,48.241,N,0,
252431080261001,G  -3946D,25.4085278,-80.4360278,3.60,NGVD29,87,99,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,48.465,N,0,
252431080261002,G  -3946 S,25.4085278,-80.4360278,3.6,NGVD29,55,99,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,48.465,N,0,
252928080332401,G  - 789,25.4913056,-80.5554444,7.20,NGVD29,30,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,48.891,N,0,
252452080273801,G  -3351,25.4148354,-80.4603346,3,NAVD88,74,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,49.148,N,0,
252436080270901,G  -3939 / TPGW-8,25.4101111,-80.4524167,3.83,NGVD29,92.5,95.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201003,03090202,49.164,N,0,
253052080345800,MRSHOPC1,25.5145556,-80.5829722,6.2,NGVD29,20,20,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20040318,03090202,49.358,N,0,
252426080271001,G  -3347,25.4076133,-80.4525567,3,NAVD88,73,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,49.407,N,0,
252506080282201,G  -3166,25.4187242,-80.4725571,3.05,NGVD29,75,75,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,49.472,N,0,
252612080300701,G  - 864,25.4368889,-80.5016667,8.9,NGVD29,20,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,49.592,N,0,
252948080341801,G  -3117,25.4970551,-80.571448,7,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,49.681,N,0,
252116080193501,G  -3945 / TPGW-14,25.3543056,-80.32625,-5.9,NGVD29,120.5,137.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201006,03090202,49.735,N,0,
252619080310201,G  - 864A,25.4391111,-80.5084444,8.3,NGVD29,20,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,19620101,03090202,49.828,N,0,
253503080382001,G  -3123,25.584552,-80.6386718,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,49.958,N,0,
252201080223201,G  -3991 / TPGW-17,25.3670528,-80.3755667,4.83,NGVD29,118.5,120.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20171026,03090202,49.969,N,0,
252427080281301,G  -3343,25.4078912,-80.4700571,3,NAVD88,68,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,50.33,N,0,
252320080261201,G  -3346,25.3892806,-80.4364453,3,NAVD88,67,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,50.346,N,0,
252202080240001,G -5011 / TPGW-22,25.3671389,-80.4000278,1.95,NAVD88,75.0,75.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,030902061607,50.913,N,0,
252212080244401,G  -3935 / TPGW-4,25.37,-80.41225,3.87,NGVD29,87.8,105.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201003,03090202,51.139,N,0,
252506080300601,G  -3901,25.4185167,-80.5017472,8,NGVD29,22.3,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,51.208,N,0,
252042080205201,G  -3934 / TPGW-3,25.3450278,-80.34775,3.07,NGVD29,109.3,128.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201002,03090202,51.341,N,0,
253051080363200,MRSHOPC2,25.5141944,-80.6090278,5.5,NGVD29,6.1,6.1,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20040317,03090202,51.478,N,0,
253328080382701,G  -3121,25.5581642,-80.6406163,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,51.508,N,0,
252334080280101,G  -3344,25.3931695,-80.4667238,3,NAVD88,58,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,51.523,N,0,
252558080321401,G  -3359    SITE 2,25.4331684,-80.537003,4,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19850101,03090202,52.19,N,0,
252948080362501,G  -3116,25.4970552,-80.6067268,6,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,52.435,N,0,
253150080381001,G  -3119,25.530943,-80.6358941,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,52.66,N,0,
254750080431201,G  - 622,25.7975997,-80.7197843,6,NAVD88,30.8,,,,,,NAD83,,03090202,52.809,N,0,
252100080242902,S  -1533U,25.350393,-80.4078336,3.13,NGVD29,2304,,120FLRD,Floridan Aquifer System,S400FLORDN,C,NAD83,,03090202,52.933,N,0,
252100080242903,S  -1533M,25.350393,-80.4078336,3.13,NGVD29,2304,,120FLRD,Floridan Aquifer System,S400FLORDN,C,NAD83,,03090202,52.933,N,0,
253054080374400,MRSHOPC3,25.51525,-80.6290833,5.6,NGVD29,20.5,20.5,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20040319,03090202,53.055,N,0,
252228080275501,G  -3342,25.3748368,-80.4650572,5.14,NGVD29,78.5,90,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,53.173,N,0,
252332080300501,G  -3355,25.3933056,-80.5009167,5.6,NGVD29,13,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,53.42,N,0,
252425080320001,G  - 613,25.4076111,-80.5242222,7.1,NGVD29,20,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,19500101,03090202,53.55,N,0,
252228080282401,G  -3341,25.3748369,-80.4731129,3,NAVD88,75,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,53.593,N,0,
253014080374701,G  -3115,25.5042773,-80.6295051,2,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,53.79,N,0,
252229080284201,G  -3940 / TPGW-9,25.3746111,-80.4783056,5.19,NGVD29,90.3,93.0,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,201005,03090202,53.889,N,0,
252543080344201,G  -3380A   RD-BK-DN-D,25.429002,-80.5781153,3,NAVD88,9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19850101,03090202,55.336,N,0,
252543080344202,G  -3380B   RD-BK-DN-M,25.429002,-80.5781153,3,NAVD88,9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19850101,03090202,55.336,N,0,
252543080344203,G  -3380C   RD-BK-DN-S,25.429002,-80.5781153,3,NAVD88,9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19850101,03090202,55.336,N,0,
252947080382501,G  -3114,25.5151028,-80.6586694,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,55.535,N,0,
252809080372300,MRSHOPD1,25.4693056,-80.6231111,4.9,NGVD29,20,20,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,20040320,03090202,55.642,N,0,
252115080293701,G  -3621,25.3620278,-80.4930833,3.1,NGVD29,9.0,12,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19960325,03090202,55.866,N,0,
252120080293601,G  -3350,25.3559488,-80.4931135,3,NAVD88,83,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,56.438,N,0,
252312080320301,G  -3620,25.3854167,-80.5414722,3.5,NGVD29,9,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19960322,03090202,56.56,N,0,
252945080395201,G  -3112,25.4962221,-80.6642283,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,57.16,N,0,
252036080293501,G -5004,25.3434528,-80.4930833,2.79,NAVD88,95,100,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,20190820,03090202,57.617,N,0,
252027080293701,G  -3349,25.3412271,-80.4933914,3,NAVD88,66,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090206,57.844,N,0,
252243080335501,G  -3619,25.3789722,-80.5653611,3.7,NGVD29,12,12,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19960322,03090202,58.624,N,0,
251952080293401,G  -1256,25.3315833,-80.4927222,3,NGVD29,57.6,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,19650301,03090202,58.728,N,0,
252803080395001,G  -3111,25.4678898,-80.6636729,3,NAVD88,,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,,NAD83,,03090202,58.947,N,0,
254000080460001,G  - 620,25.6561111,-80.7664444,6.8,NGVD29,16.6,,112BSCNN,Biscayne Limestone Aquifer,N400BISCYN,U,NAD83,,03090202,59.256,N,0,
